Type, Code, Count
Op, SPECIAL (0x00), 103485694
Op, REGIMM (0x01), 42
Op, J (0x02), 1
Op, JAL (0x03), 1258721
Op, BEQ (0x04), 10229809
Op, BNE (0x05), 37119519
Op, BLEZ (0x06), 39
Op, BGTZ (0x07), 22
Op, ADDIU (0x09), 31171205
Op, SLTI (0x0a), 106
Op, SLTIU (0x0b), 151852
Op, ANDI (0x0c), 369763
Op, ORI (0x0d), 5230
Op, XORI (0x0e), 12
Op, LUI (0x0f), 5723
Op, LB (0x20), 1003294
Op, LH (0x21), 75
Op, LW (0x23), 15940571
Op, LBU (0x24), 34411090
Op, LHU (0x25), 21
Op, SB (0x28), 103
Op, SH (0x29), 25
Op, SW (0x2b), 3077227
Special, SLL (0x00), 58344087
Special, SRL (0x02), 349
Special, SRA (0x03), 35
Special, SLLV (0x04), 47
Special, SRLV (0x06), 50
Special, JR (0x08), 1258737
Special, JALR (0x09), 7
Special, MFHI (0x10), 60
Special, MFLO (0x12), 73
Special, MULT (0x18), 11
Special, MULTU (0x19), 52
Special, DIVU (0x1b), 8
Special, ADDU (0x21), 33960416
Special, SUBU (0x23), 1272928
Special, AND (0x24), 5313
Special, OR (0x25), 369571
Special, XOR (0x26), 106
Special, NOR (0x27), 2532
Special, SLT (0x2a), 1123
Special, SLTU (0x2b), 8270189
Regimm, BLTZ (0x00), 28
Regimm, BGEZ (0x01), 12
Regimm, BEQZAL (0x11), 2
